country,four_regions,eight_regions,six_regions,Latitude,Longitude
Afghanistan,asia,asia_west,south_asia,33.0,66.0
Albania,europe,europe_east,europe_central_asia,41.0,20.0
Algeria,africa,africa_north,middle_east_north_africa,28.0,3.0
Andorra,europe,europe_west,europe_central_asia,42.50779,1.52109
Angola,africa,africa_sub_saharan,sub_saharan_africa,-12.5,18.5
Antigua and Barbuda,americas,america_north,america,17.05,-61.8
Argentina,americas,america_south,america,-34.0,-64.0
Armenia,europe,europe_east,europe_central_asia,40.25,45.0
Australia,asia,east_asia_pacific,east_asia_pacific,-25.0,135.0
Austria,europe,europe_west,europe_central_asia,47.33333,13.333329999999998
Azerbaijan,europe,europe_east,europe_central_asia,40.5,47.5
Bahamas,americas,america_north,america,25.04082,-77.37122
Bahrain,asia,asia_west,middle_east_north_africa,26.03333,50.55
Bangladesh,asia,asia_west,south_asia,24.0,90.0
Barbados,americas,america_north,america,13.166670000000002,-59.53333000000001
Belarus,europe,europe_east,europe_central_asia,53.0,28.0
Belgium,europe,europe_west,europe_central_asia,50.75,4.5
Belize,americas,america_north,america,17.49952,-88.19756
Benin,africa,africa_sub_saharan,sub_saharan_africa,9.5,2.25
Bhutan,asia,asia_west,south_asia,27.5,90.5
Bolivia,americas,america_south,america,-17.0,-65.0
Bosnia and Herzegovina,europe,europe_east,europe_central_asia,44.25,17.83333
Botswana,africa,africa_sub_saharan,sub_saharan_africa,-22.0,24.0
Brazil,americas,america_south,america,-10.0,-55.0
Brunei Darussalam,asia,east_asia_pacific,east_asia_pacific,4.5,114.66667
Bulgaria,europe,europe_east,europe_central_asia,42.66667,25.25
Burkina Faso,africa,africa_sub_saharan,sub_saharan_africa,12.5,-1.66667
Burundi,africa,africa_sub_saharan,sub_saharan_africa,-3.5,30.0
Cambodia,asia,east_asia_pacific,east_asia_pacific,13.0,105.0
Cameroon,africa,africa_sub_saharan,sub_saharan_africa,6.0,12.5
Canada,americas,america_north,america,60.10867,-113.64258
Cabo Verde,africa,africa_sub_saharan,sub_saharan_africa,16.0,-24.0
Central African Republic,africa,africa_sub_saharan,sub_saharan_africa,7.0,21.0
Chad,africa,africa_sub_saharan,sub_saharan_africa,15.0,19.0
Chile,americas,america_south,america,-33.45694,-70.64827
China,asia,east_asia_pacific,east_asia_pacific,35.0,105.0
Colombia,americas,america_south,america,4.0,-73.25
Comoros,africa,africa_sub_saharan,sub_saharan_africa,-12.23333,44.44553
DR Congo,africa,africa_sub_saharan,sub_saharan_africa,-2.5,23.5
Congo Republic,africa,africa_sub_saharan,sub_saharan_africa,-1.0,15.5
Costa Rica,americas,america_north,america,10.0,-84.0
Cote d'Ivoire,africa,africa_sub_saharan,sub_saharan_africa,8.0,-5.5
Croatia,europe,europe_east,europe_central_asia,45.16667,15.5
Cuba,americas,america_north,america,22.0,-79.5
Cyprus,europe,europe_west,europe_central_asia,35.0,33.0
Czech Republic,europe,europe_east,europe_central_asia,49.75,15.0
Denmark,europe,europe_west,europe_central_asia,56.0,10.0
Djibouti,africa,africa_north,middle_east_north_africa,11.58901,43.14503
Dominica,americas,america_north,america,15.5,-61.33333
Dominican Republic,americas,america_north,america,19.0,-70.66667
Ecuador,americas,america_south,america,-1.25,-78.25
Egypt,africa,africa_north,middle_east_north_africa,27.0,30.0
El Salvador,americas,america_north,america,13.833329999999998,-88.91667
Equatorial Guinea,africa,africa_sub_saharan,sub_saharan_africa,1.7,10.5
Eritrea,africa,africa_sub_saharan,sub_saharan_africa,15.0,39.0
Estonia,europe,europe_east,europe_central_asia,59.0,26.0
Ethiopia,africa,africa_sub_saharan,sub_saharan_africa,9.0,39.5
Fiji,asia,east_asia_pacific,east_asia_pacific,-18.0,178.0
Finland,europe,europe_east,europe_central_asia,64.0,26.0
France,europe,europe_west,europe_central_asia,46.0,2.0
Gabon,africa,africa_sub_saharan,sub_saharan_africa,-1.0,11.75
Gambia,africa,africa_sub_saharan,sub_saharan_africa,13.5,-15.5
Georgia,europe,europe_east,europe_central_asia,41.99998,43.4999
Germany,europe,europe_west,europe_central_asia,51.5,10.5
Ghana,africa,africa_sub_saharan,sub_saharan_africa,8.1,-1.2
Greece,europe,europe_west,europe_central_asia,39.0,22.0
Grenada,americas,america_north,america,12.11667,-61.66667
Guatemala,americas,america_north,america,14.640720000000002,-90.51327
Guinea,africa,africa_sub_saharan,sub_saharan_africa,10.83333,-10.66667
Guinea-Bissau,africa,africa_sub_saharan,sub_saharan_africa,12.0,-15.0
Guyana,americas,america_south,america,5.0,-59.0
Haiti,americas,america_north,america,19.0,-72.41667
Vatican,europe,europe_west,europe_central_asia,41.90236,12.45332
Honduras,americas,america_north,america,15.0,-86.5
Hong Kong,asia,east_asia_pacific,east_asia_pacific,22.28552,114.15769
Hungary,europe,europe_east,europe_central_asia,47.0,20.0
Iceland,europe,europe_west,europe_central_asia,65.0,-18.0
India,asia,asia_west,south_asia,22.0,79.0
Indonesia,asia,east_asia_pacific,east_asia_pacific,-5.0,120.0
Iran,asia,asia_west,middle_east_north_africa,32.0,53.0
Iraq,asia,asia_west,middle_east_north_africa,33.0,44.0
Ireland,europe,europe_west,europe_central_asia,53.0,-8.0
Israel,asia,asia_west,middle_east_north_africa,31.5,34.75
Italy,europe,europe_west,europe_central_asia,42.83333,12.83333
Jamaica,americas,america_north,america,18.16667,-77.25
Japan,asia,east_asia_pacific,east_asia_pacific,35.68536,139.75309
Jordan,asia,asia_west,middle_east_north_africa,31.0,36.0
Kazakhstan,asia,asia_west,europe_central_asia,48.0,68.0
Kenya,africa,africa_sub_saharan,sub_saharan_africa,1.0,38.0
Kiribati,asia,east_asia_pacific,east_asia_pacific,1.421,172.984
North Korea,asia,east_asia_pacific,east_asia_pacific,40.0,127.0
South Korea,asia,east_asia_pacific,east_asia_pacific,36.5,127.75
Kuwait,asia,asia_west,middle_east_north_africa,29.36972,47.97833
Kyrgyz Republic,asia,asia_west,europe_central_asia,41.5,75.0
Laos,asia,east_asia_pacific,east_asia_pacific,18.0,105.0
Latvia,europe,europe_east,europe_central_asia,57.0,25.0
Lebanon,asia,asia_west,middle_east_north_africa,33.83333,35.83333
Lesotho,africa,africa_sub_saharan,sub_saharan_africa,-29.5,28.25
Liberia,africa,africa_sub_saharan,sub_saharan_africa,6.5,-9.5
Libya,africa,africa_north,middle_east_north_africa,28.0,17.0
Liechtenstein,europe,europe_west,europe_central_asia,47.16667,9.53333
Lithuania,europe,europe_east,europe_central_asia,55.41667,24.0
Luxembourg,europe,europe_west,europe_central_asia,49.61167,6.13
Macedonia,europe,europe_east,europe_central_asia,41.66667,21.75
Madagascar,africa,africa_sub_saharan,sub_saharan_africa,-20.0,47.0
Malawi,africa,africa_sub_saharan,sub_saharan_africa,-13.5,34.0
Malaysia,asia,east_asia_pacific,east_asia_pacific,2.5,112.5
Maldives,asia,asia_west,south_asia,3.2,73.0
